Country ,Total Time Spent on Devices,Internet via Mobiles ,Internet via Computer ,% of Population Using the Internet,Mobile Internet Speed (Mbps),Fixed Internet Speed (Mbps),Streaming TV (%),Playing Video Games  (%),Time Spent using a game console,Daily Time Spent Using Social Media,Number of Social Media Accounts,Listening to Podcasts (%),Time Spent Listening to Podcasts,Listen to Streaming Music Services (%),Time Spent Listening to Music Streaming services
Argentina,9:38,5:04,4:34,83,21.09,38.61,96.7,86.6,1:01,3:26,7.4,16.9,0:37,38.9,1:53
Australia,6:13,2:49,3:24,91,81.14,51.98,91.2,75.2,1:07,1:57,6.1,20.5,0:54,16.7,1:42
Austria ,5:42,2:29,3:13,93,50.31,51.01,88.2,74.4,0:45,1:31,5.5,15.9,0:37,33.2,1:15
Belgium,5:44,2:19,3:25,94,47.98,77.58,86.7,70.5,0:40,1:34,5.6,11.6,0:25,25.8,0:57
Brazil,10:19,5:25,4:54,77,22.6,83.25,97.7,89.3,1:10,3:41,8.7,37,1:06,50.4,2:03
Canada ,6:45,2:51,3:54,96.5,72.87,97.51,91.9,79.6,0:56,1:53,6.2,21.3,0:41,36.6,1:23
China,5:15,3:06,2:09,70.9,96.84,146.62,94.1,77.4,1:15,1:57,8,19.2,1:07,38.6,1:21
Colombia,10:03,5:09,4:54,69.1,13.34,55.21,95.5,86.9,1:06,3:46,7.8,21.5,0:51,33.5,1:47
Denmark,5:03,2:13,2:50,99,81.58,152.31,93.1,74.6,0:43,1:59,5.8,20.6,0:53,40.1,1:41
Egypt,8:02,4:25,3:37,71.9,17.28,35.67,91.2,86.3,2:03,3:13,7,12,1:18,23.1,1:41
France,5:34,2:19,3:15,93,52.73,91.59,89.3,78.4,0:55,1:46,5.5,12.5,0:29,32.5,1:06
Germany,5:22,2:14,3:08,93,51.03,67.15,84.9,74.1,0:47,1:29,5.3,18.1,0:34,37.5,1:07
Greece ,6:06,2:37,3:29,82.2,52.59,31.85,96.9,85,0:40,1:50,6.6,12.7,0:24,28.1,0:58
Hong Kong,6:46,3:31,3:15,93,42.75,158.19,96.9,87.4,0:59,1:53,7.1,15.9,0:34,37.5,1:03
India ,7:18,4:05,3:13,47,14.39,47.4,97.2,92,1:21,2:36,8.6,21.3,1:02,45.6,1:54
Indonesia,8:37,4:56,3:41,73.7,15.82,20.13,97.1,94.5,1:19,3:17,8.5,35.6,0:55,47.5,1:40
Ireland,6:31,3:05,3:26,99,27.96,65.29,90.9,71.9,0:55,1:59,6.7,29.3,0:53,39.6,1:28
Israel,7:35,3:31,4:04,90,24.8,85.66,95.7,75.2,0:19,1:58,5.5,17.8,0:22,30.5,1:03
Italy ,6:10,2:45,3:25,84.3,34.53,49.82,91.7,81.8,0:48,1:47,6,14.1,0:29,43.6,1:05
Japan,4:25,1:39,2:46,94,40.89,93.26,76.1,71.7,0:30,0:51,3.9,4.5,0:12,23.7,0:27
Malaysia,9:10,4:49,4:21,89.6,24.56,74.84,95.5,90.1,1:13,3:02,8.2,15.4,0:39,40.2,1:36
Mexico,8:55,4:37,4:18,74,22.21,36.54,97.9,91.2,1:31,3:20,7.9,34.5,1:04,49.4,2:13
Netherlands,5:11,2:22,2:49,96,94.93,96.82,85.2,74.3,0:46,1:21,5.6,15.1,0:23,30.2,1:03
New Zealand,6:23,2:59,3:24,94.9,46.77,94.67,95.3,78.2,0:54,2:05,6.3,18.1,0:49,40,1:49
Philippines,10:27,5:47,4:40,68,18.68,46.44,98.3,96.4,1:34,4:06,8.5,21.9,0:54,49.6,2:12
Poland,6:40,2:58,3:42,87,37.79,85.3,91.8,80.7,0:43,1:49,6,19.6,0:37,21.5,1:16
Portugal,7:56,3:34,4:22,85,45.77,94.84,84.7,81.2,0:38,2:28,6.7,24.6,0:39,31.2,1:11
Romania,7:09,3:41,3:28,88,33.76,124.36,91.4,84.3,0:38,2:19,6.5,20.6,0:42,21.7,1:11
Saudi Arabia,8:05,4:35,3:30,97.9,91.06,80.39,95.9,91.4,1:53,3:24,7.7,18.4,1:09,21,1:30
Singapore,7:28,3:38,3:50,92,63.41,184.65,91.5,84.5,1:11,2:31,7.5,16.5,0:56,35.8,1:43
South Africa,10:46,5:09,5:37,68.2,30.54,29.73,96.6,90.2,1:03,3:43,8,21.8,0:46,49.4,2:12
South Korea,5:29,2:46,2:43,98,104.98,98.86,84.2,78.1,0:35,1:13,4.9,12.5,0:27,42.1,0:55
Spain,6:04,2:48,3:16,94,34.3,131.46,90.7,80.8,0:54,1:53,6.2,21.3,0:35,38.4,1:14
Sweden,6:21,2:55,3:26,97,59.61,98.69,95.3,74.4,0:44,2:02,6.6,28.9,0:49,44.3,1:41
Switzerland,5:45,2:29,3:16,98,78.57,109.65,89,77,0:42,1:33,5.8,15.7,0:39,35.1,1:19
Taiwan ,8:07,4:12,3:55,91,54,94.63,94.8,91.6,0:53,2:04,6.5,15.9,0:38,43.6,1:20
Thailand,9:06,5:28,3:38,77.8,31.91,171.37,97.1,94.7,1:58,2:59,7.6,19.1,1:12,37.3,1:53
Turkey,8:00,4:16,3:44,82,30.97,25.67,96.4,91.5,1:06,2:59,8.1,17.8,0:49,51.3,1:46
United Arab Emirates,8:36,4:35,4:01,99,136.42,103.71,93.9,90.3,1:29,3:04,7.8,15.4,1:04,29.9,1:34
United Kingdom,6:12,2:41,3:31,98,47,58.8,92.6,74.9,1:02,1:48,6.3,20.3,0:40,36.6,1:17
United States of America,7:04,3:30,3:34,92,53.31,134.1,91.6,80.9,1:27,2:14,6.6,23.5,0:58,44.9,1:56
Vietnam,6:38,3:32,3:06,73.2,35.14,68.5,94.5,93.4,1:12,2:28,7.4,14.1,0:44,36.9,1:12
Worldwide,6:57,3:43,3:14,62.5,29.06,58,93.5,83.6,1:12,2:27,7.5,20.4,0:55,39.6,1:33
Russia,7:50,3:39,4:11,89,17.84,61.65,84.5,78.6,0:30,2:27,6.1,8,0:23,16.9,0:52